gene	disease	inheritance
SMARCE1	Coffin-siris syndrome 5;COFFIN-SIRIS SYNDROME 5	
SMC1A	Congenital muscular hypertrophy-cerebral syndrome;Congenital muscular hypertrophy-cerebral syndrome	X-linked inheritance
SMC3	Audiologic/Otolaryngologic (child onset);Multiple congenital anomalies;Neurologic (child onset);CORNELIA DE LANGE SYNDROME 3;MR/ID/DD;Craniofacial (child onset);Cornelia de Lange syndrome 3;Ophthalmologic (child onset);Inborn genetic diseases;Gastrointestinal (child onset);Musculoskeletal/Structural (child onset)	Autosomal dominant inheritance
SMCHD1	Facioscapulohumeral muscular dystrophy 2;FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 2, DIGENIC	
SMG9	Heart and brain malformation syndrome;Brainstem dysplasia;Abnormality of cardiovascular system morphology;HEART AND BRAIN MALFORMATION SYNDROME;Abnormal facial shape;Global developmental delay	
SMN1	Kugelberg-Welander disease;SPINAL MUSCULAR ATROPHY, TYPE III	
SMO	Basal cell carcinoma, somatic;BASAL CELL CARCINOMA, SOMATIC	
SMOC1	Anophthalmos with limb anomalies;MICROPHTHALMIA AND LIMB ANOMALIES	
SMOC2	Dentin dysplasia, type I, with extreme microdontia and misshapen teeth;DENTIN DYSPLASIA, TYPE I, WITH EXTREME MICRODONTIA AND MISSHAPEN TEETH	
SMPD1	Ceroid lipofuscinosis neuronal 6;Niemann-Pick disease, type A	Autosomal recessive inheritance
SMPX	Deafness, X-linked 4;DEAFNESS, X-LINKED 4	
SMS	Snyder Robinson syndrome;MENTAL RETARDATION, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE;Snyder-Robinson Syndrome	X-linked inheritance
SNAP25	Myasthenic syndrome, congenital, 18;MYASTHENIC SYNDROME, CONGENITAL, 18, WITH INTELLECTUAL DISABILITY AND ATAXIA (1 patient)	
SNAP29	Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome	
SNCA	Lewy body dementia;DEMENTIA, LEWY BODY	
SNCB	Lewy body dementia;DEMENTIA, LEWY BODY	
SNIP1	Psychomotor retardation, epilepsy, and craniofacial dysmorphism;PSYCHOMOTOR RETARDATION, EPILEPSY, AND CRANIOFACIAL DYSMORPHISM	
SNRNP200	Retinitis pigmentosa 33;RETINITIS PIGMENTOSA 33	
SNRPB	Cerebro-costo-mandibular syndrome;CEREBROCOSTOMANDIBULAR SYNDROME	
SNRPE	Hypotrichosis 11;HYPOTRICHOSIS 11	
SNTA1	Long QT syndrome 12;LONG QT SYNDROME 12	
SNX10	Osteopetrosis, autosomal recessive 8;OSTEOPETROSIS, AUTOSOMAL RECESSIVE 8	
SNX14	Spinocerebellar ataxia, autosomal recessive 20;SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 20	
SOBP	Mental retardation, anterior maxillary protrusion, and strabismus;MENTAL RETARDATION, ANTERIOR MAXILLARY PROTRUSION, AND STRABISMUS	
SOD1	Amyotrophic lateral sclerosis 1, autosomal recessive;AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE	
SOD3	Superoxide dismutase, elevated extracellular;SUPEROXIDE DISMUTASE, ELEVATED EXTRACELLULAR	
SOS1	Cafe-au-lait spot;Noonan syndrome;Abnormality of the face;Pectus excavatum;Abnormality of the sternum;Noonan syndrome 4;not provided;Multiple lentigines;Rasopathy;Global developmental delay;Low-set nipples;Pectus carinatum;Not Provided;NOONAN SYNDROME 4;Short stature;Nevus;Webbed neck;Broad neck	Autosomal dominant inheritance
SOS2	Noonan syndrome 9;NOONAN SYNDROME 9	
SOST	Craniodiaphyseal dysplasia, autosomal dominant;CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	
SOX11	Mental retardation, autosomal dominant 27;MENTAL RETARDATION, AUTOSOMAL DOMINANT 27	
SOX17	Vesicoureteral reflux 3;VESICOURETERAL REFLUX 3	
SOX5	Lamb-shaffer syndrome;LAMB-SHAFFER SYNDROME	
SOX9	Acampomelic campomelic dysplasia;ACAMPOMELIC CAMPOMELIC DYSPLASIA	
SPAG1	Ciliary dyskinesia, primary, 28;CILIARY DYSKINESIA, PRIMARY, 28, WITH OR WITHOUT SITUS INVERSUS	
SPAST	progressive;MR/ID/DD;Neurologic (child onset);Spastic paraplegia 4, autosomal dominant;Ataxia;Inborn genetic diseases	Autosomal dominant inheritance
SPATA16	Globozoospermia;SPERMATOGENIC FAILURE 6 (1 family)	
SPATA5	not provided;Epilepsy, hearing loss, and mental retardation syndrome;EPILEPSY, HEARING LOSS, AND MENTAL RETARDATION SYNDROME;Not Provided	
SPATA7	Leber congenital amaurosis 3;LEBER CONGENITAL AMAUROSIS 3	
SPEG	Myopathy, centronuclear, 5;CENTRONUCLEAR MYOPATHY 5	
SPG11	Amyotrophic lateral sclerosis type 5;Charcot-Marie-Tooth disease, axonal type 2X;SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSIVE;Spastic Paraplegia 11;Spastic paraplegia 11, autosomal recessive	
SPG21	Mast syndrome;SPASTIC PARAPLEGIA 21	Autosomal recessive inheritance
SPG7	Dysarthria;Not Provided;not provided;Nystagmus;Spasticity;Ataxia;SPASTIC PARAPLEGIA 7, AUTOSOMAL RECESSIVE;Spastic paraplegia 7	
SPINK1	Fibrocalculous pancreatic diabetes, susceptibility to;PANCREATITIS, CHRONIC, SUSCEPTIBILITY TO;Tropical calcific pancreatitis;Hereditary pancreatitis;Pancreatitis, chronic, susceptibility to	Autosomal recessive inheritance;Autosomal dominant inheritance
SPINK5	Netherton syndrome;NETHERTON SYNDROME	
SPINT2	Diarrhea 3, secretory sodium, congenital, syndromic;DIARRHEA 3, SECRETORY SODIUM, CONGENITAL, SYNDROMIC	
SPR	not provided;not provided	
SPRED1	Autosomal dominant inheritance;not provided	
SPRTN	Ruijs-aalfs syndrome;RUIJS-AALFS SYNDROME	
SPRY4	Hypogonadotropic hypogonadism 17 with or without anosmia;HYPOGONADOTROPIC HYPOGONADISM 17 WITH ANOSMIA	
SPTA1	Elliptocytosis 2;ELLIPTOCYTOSIS 2	
SPTAN1	Early infantile epileptic encephalopathy 5;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 5	Autosomal dominant inheritance
SPTB	Anemia, neonatal hemolytic, fatal and near-fatal;ANEMIA, NEONATAL HEMOLYTIC, FATAL AND NEAR-FATAL	
SPTBN2	Inborn genetic diseases;MR/ID/DD;Neurologic (child onset);Ophthalmologic (child onset)	
SPTLC1	Neuropathy hereditary sensory and autonomic type 1;NEUROPATHY, HEREDITARY SENSORY, TYPE I	
SPTLC2	Hereditary sensory and autonomic neuropathy type IC;Hereditary sensory and autonomic neuropathy type IC	
SQSTM1	Frontotemporal dementia and/or amyotrophic lateral sclerosis 3;FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 3	
SRC	Colon cancer, advanced;COLON CANCER, ADVANCED, SOMATIC	
SRCAP	Floating-Harbor syndrome;Floating-Harbor syndrome	Autosomal dominant inheritance
SRD5A2	3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency;PSEUDOVAGINAL PERINEOSCROTAL HYPOSPADIAS	Autosomal recessive inheritance
SRD5A3	Congenital disorder of glycosylation type 1Q;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iq	
SRGAP1	Thyroid cancer, follicular;THYROID CANCER, NONMEDULLARY, 2	Autosomal dominant inheritance
SRI	Inborn genetic diseases;Cardiovascular (adult onset);Ophthalmologic (adult onset);Metabolic/ Biochemical (adult onset)	
SRP72	Bone marrow failure syndrome 1;BONE MARROW FAILURE SYNDROME 1	
SRPX2	Rolandic epilepsy with mental retardation and speech dyspraxia, X-linked;ROLANDIC EPILEPSY, MENTAL RETARDATION, AND SPEECH DYSPRAXIA, X-LINKED (1 family)	X-linked inheritance
SRY	46,XY sex reversal, type 1;46,XY SEX REVERSAL 1	
SSR4	Congenital disorder of glycosylation type 1y;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy (1 patient);Congenital disorder of glycosylation type 1y	
ST14	Ichthyosis, congenital, autosomal recessive 11;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 11	
ST3GAL3	Mental retardation, autosomal recessive 12;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 12	
ST3GAL5	Amish infantile epilepsy syndrome;AMISH INFANTILE EPILEPSY SYNDROME	
STAC3	Native American myopathy;NATIVE AMERICAN MYOPATHY	
STAMBP	Microcephaly-capillary malformation syndrome;MICROCEPHALY-CAPILLARY MALFORMATION SYNDROME	
STAR	Cholesterol monooxygenase (side-chain cleaving) deficiency;LIPOID CONGENITAL ADRENAL HYPERPLASIA	
STAT1	Immunodeficiency 31a;IMMUNODEFICIENCY 31A	
STAT2	Immunodeficiency 44;IMMUNODEFICIENCY 44	
STAT3	Autoimmune disease, multisystem, infantile-onset, 1	
STAT5B	Growth hormone insensitivity with immunodeficiency;GROWTH HORMONE INSENSITIVITY WITH IMMUNODEFICIENCY	
STIL	Primary autosomal recessive microcephaly 7;MICROCEPHALY 7, PRIMARY, AUTOSOMAL RECESSIVE	Autosomal recessive inheritance
STIM1	Immune dysfunction with T-cell inactivation due to calcium entry defect 2;IMMUNODEFICIENCY 10	
STK11	Carcinoma of pancreas;PANCREATIC CANCER, SOMATIC	
STK4	T-cell immunodeficiency, recurrent infections, and autoimmunity with or without cardiac malformations;T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AUTOIMMUNITY, AND CARDIAC MALFORMATIONS	
STOX1	Preeclampsia/eclampsia 4;PREECLAMPSIA/ECLAMPSIA 4	
STRA6	Anophthalmia - microphthalmia;Colobomatous microphthalmia, short stature, Left duplicated pyelocaliceal system, Psychomotor delay	
STRC	Deafness, autosomal dominant 16;Non-syndromic genetic deafness	
STS	X-linked ichthyosis with steryl-sulfatase deficiency;ICHTHYOSIS, X-LINKED	
STT3A	Congenital disorder of glycosylation type 1w;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iw (1 family)	
STT3B	Congenital disorder of glycosylation type 1x;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ix (1 patient)	
STUB1	Spinocerebellar ataxia, autosomal recessive 16;SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 16	
STX11	Hemophagocytic lymphohistiocytosis, familial, 4;HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 4	
STX1B	Generalized epilepsy with febrile seizures plus, type 9;GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 9	
STXBP1	Early infantile epileptic encephalopathy	
STXBP2	Hemophagocytic lymphohistiocytosis, familial, 5;HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL 5	
SUCLA2	Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria);MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (ENCEPHALOMYOPATHIC TYPE WITH METHYLMALONIC ACIDURIA)	
SUCLG1	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic with methylmalonic aciduria);Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	
SUFU	Gorlin syndrome;Medulloblastoma, desmoplastic;MEDULLOBLASTOMA, DESMOPLASTIC, SOMATIC	Autosomal dominant inheritance
SUGCT	Glutaryl-CoA oxidase deficiency;GLUTARIC ACIDURIA III	
SUMF1	Multiple sulfatase deficiency;MULTIPLE SULFATASE DEFICIENCY	
SUOX	Sulfite oxidase deficiency, isolated;SULFITE OXIDASE DEFICIENCY, ISOLATED	
SURF1	Charcot-Marie-Tooth disease, type 4k;CHARCOT-MARIE-TOOTH DISEASE, TYPE 4K	
SYCE1	Premature ovarian failure 12;PREMATURE OVARIAN FAILURE 12 (1 family)	
SYN1	Epilepsy, X-linked, with variable learning disabilities and behavior disorders;EPILEPSY, X-LINKED, WITH VARIABLE LEARNING DISABILITIES AND BEHAVIOR DISORDERS	X-linked inheritance
SYNE1	Emery-Dreifuss muscular dystrophy 4, autosomal dominant;EMERY-DREIFUSS MUSCULAR DYSTROPHY 4 WITH VARIABLE FEATURES	
SYNE2	not specified;EMERY-DREIFUSS MUSCULAR DYSTROPHY 5;Emery-Dreifuss muscular dystrophy 5, autosomal dominant	
SYNE4	Deafness, autosomal recessive 76;DEAFNESS, AUTOSOMAL RECESSIVE 76	
SYNGAP1	Inborn genetic diseases;MR/ID/DD;Seizures/Epilepsy;Psychiatric;Craniofacial (child onset);Neurologic (child onset);Gastrointestinal (child onset);Ophthalmologic (child onset)	
SYNJ1	Parkinson disease 20, early-onset;PARKINSON DISEASE 20, EARLY-ONSET	
SYP	Mental retardation, X-linked 96;MENTAL RETARDATION, X-LINKED 96	X-linked inheritance
SYT14	Spinocerebellar ataxia, autosomal recessive 11;SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 11	
SYT2	Myasthenic syndrome, congenital, 7, presynaptic;MYASTHENIC SYNDROME, CONGENITAL, 7, PRESYNAPTIC	
SZT2	Early infantile epileptic encephalopathy 18;EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 18	
T	Sacral agenesis with vertebral anomalies;SACRAL AGENESIS WITH VERTEBRAL ANOMALIES	
TAB2	Congenital heart defects, multiple types, 2;CONGENITAL HEART DISEASE, MULTIPLE TYPES, 2	
TAC3	Hypogonadotropic hypogonadism 10 with or without anosmia;HYPOGONADOTROPIC HYPOGONADISM 10 WITH OR WITHOUT ANOSMIA	
TACO1	Congenital myasthenic syndrome, acetazolamide-responsive;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX IV DEFICIENCY (1 family)	
TACR3	Hypogonadotropic hypogonadism 11 with or without anosmia;HYPOGONADOTROPIC HYPOGONADISM 11 WITHOUT ANOSMIA	
TACSTD2	Lattice corneal dystrophy Type III;GELATINOUS DROP-LIKE CORNEAL DYSTROPHY	
TAF1	Dystonia 3, torsion, X-linked;X-Linked Dystonia-Parkinsonism Syndrome	
TAF2	Mental retardation, autosomal recessive 40;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 40	
TAF4B	Spermatogenic failure 13;SPERMATOGENIC FAILURE 13 (1 family)	
TAF6	Cornelia de Lange syndrome 1;Cornelia de Lange Syndrome 1 (CdLS1)	Autosomal dominant inheritance
TALDO1	Deficiency of transaldolase;Deficiency of transaldolase	
TANGO2	Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration;METABOLIC ENCEPHALOMYOPATHIC CRISES, RECURRENT, WITH RHABDOMYOLYSIS, CARDIAC ARRHYTHMIAS, AND NEURODEGENERATION	
TAP1	TAP1 deficiency, somatic;TAP1 DEFICIENCY, SOMATIC	
TAPT1	Osteochondrodysplasia, complex lethal, symoens-barnes-gistelinck type;OSTEOCHONDRODYSPLASIA, COMPLEX LETHAL, SYMOENS-BARNES-GISTELINCK TYPE	
TARDBP	Amyotrophic lateral sclerosis type 10;AMYOTROPHIC LATERAL SCLEROSIS 10 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA AND WITH TDP43 INCLUSIONS;Amyotrophic lateral sclerosis type 10	Autosomal dominant inheritance
TARS2	Combined oxidative phosphorylation deficiency 21;COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 21 (1 family)	
TAS2R16	Alcohol dependence, susceptibility to;BETA-GLYCOPYRANOSIDE TASTING;Beta-glycopyranoside tasting	
TAT	Tyrosinemia type 2;TYROSINEMIA, TYPE II	
TAZ	3-Methylglutaconic aciduria type 2;BARTH SYNDROME	X-linked inheritance
TBC1D20	Warburg micro syndrome 4;WARBURG MICRO SYNDROME 4	
TBC1D24	Deafness, autosomal dominant 65;DEAFNESS, AUTOSOMAL DOMINANT 65;DFNA65;Deafness, autosomal recessive 86	
TBC1D4	Diabetes mellitus, noninsulin-dependent, 5;DIABETES MELLITUS, NONINSULIN-DEPENDENT, 5	
TBCE	Hypoparathyroidism retardation dysmorphism syndrome;HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME	
TBCK	Hypotonia, infantile, with psychomotor retardation and characteristic facies 3;HYPOTONIA, INFANTILE, WITH PSYCHOMOTOR RETARDATION AND CHARACTERISTIC FACIES 3	
TBK1	Frontotemporal dementia and/or amyotrophic lateral sclerosis 4;FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 4	
TBL1XR1	Fitzsimmons-Guilbert syndrome;MENTAL RETARDATION, AUTOSOMAL DOMINANT 41	
TBX1	Conotruncal anomaly face syndrome/velocardiofacial syndrome;CONOTRUNCAL ANOMALY FACE SYNDROME/VELOCARDIOFACIAL SYNDROME	
TBX18	Multicystic renal dysplasia, bilateral;CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 2	
TBX19	ACTH deficiency;ACTH DEFICIENCY, ISOLATED	Autosomal recessive inheritance
TBX20	Atrial septal defect 4;ATRIAL SEPTAL DEFECT 4	
TBX22	Abruzzo Erickson syndrome;ABRUZZO-ERICKSON SYNDROME (1 family)	
TBX3	Ulnar-mammary syndrome;ULNAR-MAMMARY SYNDROME	
TBX4	Ischiopatellar dysplasia;ISCHIOCOXOPODOPATELLAR SYNDROME	
TBX5	Aortic valve disease 2	Autosomal dominant inheritance
TBX6	Spondylocostal dysostosis 5	
TBXAS1	Ghosal hematodiaphyseal syndrome;GHOSAL HEMATODIAPHYSEAL SYNDROME	
TCAP	Cardiomyopathy, hypertrophic;Hypertrophic cardiomyopathy;CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 25;Dilated cardiomyopathy 1N	
TCF12	Craniosynostosis 3;Craniosynostosis 3	
TCF20	Autistic behavior;Delayed speech and language development;Intellectual disability (moderate);Autism spectrum disorder;Intellectual disability (moderate);Speech delay	
TCF3	Agammaglobulinemia 8, autosomal dominant;AGAMMAGLOBULINEMIA 8, AUTOSOMAL DOMINANT	
TCF4	Intellectual disability;Intellectual disability	
TCIRG1	Low blood neutrophil counts (ANC < 1.5 x 109/L) and recurrent bacterial infections usually beginning very early in childhood;Severe congenital neutropenia autosomal dominant;congenital neutropenia	Autosomal dominant inheritance
TCN2	Transcobalamin II deficiency;TRANSCOBALAMIN II DEFICIENCY;Transcobalamin II deficiency	
TCOF1	Treacher collins syndrome 1;Treacher Collins syndrome 1	
TCTN1	Joubert syndrome 13;Joubert syndrome 13	Autosomal recessive inheritance
TCTN2	Joubert syndrome	
TCTN3	Joubert syndrome 18	
TDP1	Spinocerebellar ataxia autosomal recessive with axonal neuropathy;SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE, WITH AXONAL NEUROPATHY	
TDP2	Spinocerebellar ataxia, autosomal recessive 23;SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 23	
TEAD1	Sveinsson choreoretinal atrophy;SVEINSSON CHOREORETINAL ATROPHY	
TECR	Mental retardation, autosomal recessive 14;MENTAL RETARDATION, AUTOSOMAL RECESSIVE 14	
TECTA	Deafness, autosomal dominant 12	
TEK	Multiple Cutaneous and Mucosal Venous Malformations;VENOUS MALFORMATIONS, MULTIPLE CUTANEOUS AND MUCOSAL	
TELO2	You-Hoover-Fong syndrome;YOU-HOOVER-FONG SYNDROME	
TENM3	Microphthalmia, isolated, with coloboma 9;MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 9	
TENM4	Tremor, hereditary essential, 5;TREMOR, HEREDITARY ESSENTIAL, 5	
TERC	Aplastic anemia;Dyskeratosis Congenita	Autosomal dominant inheritance
TERT	Aplastic anemia;Dyskeratosis Congenita	Autosomal dominant inheritance
TEX11	Spermatogenic failure, X-linked, 2;SPERMATOGENIC FAILURE, X-LINKED, 2	
TEX15	Oligosynaptic infertility;Male infertility	
TF	Atransferrinemia;ATRANSFERRINEMIA	Autosomal recessive inheritance
TFAP2A	Branchiooculofacial syndrome;Abnormality of upper lip;Low posterior hairline;Branchial anomaly;Lacrimal duct stenosis;Ectopic lacrimal punctum;Branchial anomaly;Lacrimal duct stenosis;Optic nerve coloboma;Unilateral conductive hearing impairment;Premature graying of hair;Branchiooculofacial syndrome	
TFAP2B	Char syndrome;Char Syndrome	
TFG	Neuropathy, hereditary motor and sensory, Okinawa type;HEREDITARY MOTOR AND SENSORY NEUROPATHY, OKINAWA TYPE	
TFR2	Hemochromatosis type 3;HEMOCHROMATOSIS, TYPE 3;TFR2-Related Hereditary Hemochromatosis	
TFRC	Combined immunodeficiency;IMMUNODEFICIENCY 46;Immunodeficiency 46	
TG	Iodotyrosyl coupling defect	Autosomal recessive inheritance
TGDS	Catel Manzke syndrome;CATEL-MANZKE SYNDROME	
TGFB1	Diaphyseal dysplasia;CAMURATI-ENGELMANN DISEASE;Diaphyseal dysplasia	
TGFB2	Loeys-Dietz syndrome 4	Autosomal dominant inheritance
TGFB3	Arrhythmogenic right ventricular dysplasia, familial 1;ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA 1	
TGFBI	Avellino corneal dystrophy;CORNEAL DYSTROPHY, AVELLINO TYPE	
TGFBR1	Loeys-Dietz syndrome 1;LOEYS-DIETZ SYNDROME 1	Autosomal dominant inheritance
TGFBR2	Hereditary nonpolyposis colorectal cancer type 6;COLON CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6, SOMATIC	
TGIF1	Holoprosencephaly 4;HOLOPROSENCEPHALY 4	
TGM1	Autosomal recessive congenital ichthyosis 1;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 1	
TGM5	Peeling skin syndrome, acral type;PEELING SKIN SYNDROME 2	
TGM6	Spinocerebellar ataxia 35;Acute myeloid leukemia;AML - Acute myeloid leukemia;SPINOCEREBELLAR ATAXIA 35	Autosomal dominant inheritance;Somatic mutation
TH	Segawa syndrome, autosomal recessive;Dystonia;SEGAWA SYNDROME, AUTOSOMAL RECESSIVE	Autosomal recessive inheritance
THAP1	Dystonia 6, torsion;DYSTONIA 6, TORSION	
THBD	Thrombophilia due to thrombomodulin defect;THROMBOPHILIA DUE TO THROMBOMODULIN DEFECT	
THOC2	Mental retardation, X-linked 12;MENTAL RETARDATION, X-LINKED 12	
THOC6	Beaulieu-Boycott-Innes syndrome;BEAULIEU-BOYCOTT-INNES SYNDROME	
THRA	Hypothyroidism, congenital, nongoitrous, 6;HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 6	
THRB	Thyroid hormone resistance, generalized, autosomal dominant;THYROID HORMONE RESISTANCE, GENERALIZED, AUTOSOMAL DOMINANT	Autosomal dominant inheritance
TIMM8A	Mohr-Tranebjaerg syndrome;Deafness-Dystonia-Optic Neuronopathy Syndrome	X-linked inheritance
TINF2	Aplastic anemia;Dyskeratosis Congenita	Autosomal dominant inheritance
TJP2	Hypercholanemia, familial;HYPERCHOLANEMIA, FAMILIAL	Autosomal recessive inheritance
TK2	Mitochondrial DNA depletion syndrome 2;MITOCHONDRIAL DNA DEPLETION SYNDROME 2 (MYOPATHIC TYPE);TK2-Related Mitochondrial DNA Depletion Syndrome, Myopathic Form	
TKT	not provided;Not Provided	
TLE6	Preimplantation embryonic lethality;PREIMPLANTATION EMBRYONIC LETHALITY	
TLL1	Atrial septal defect 6;ATRIAL SEPTAL DEFECT 6	
TMC1	Deafness, autosomal dominant 36;DEAFNESS, AUTOSOMAL DOMINANT 36	
TMC6	EPIDERMODYSPLASIA VERRUCIFORMIS;EPIDERMODYSPLASIA VERRUCIFORMIS	
TMC8	EPIDERMODYSPLASIA VERRUCIFORMIS;EPIDERMODYSPLASIA VERRUCIFORMIS	
TMCO1	Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome	
TMEM107	Orofaciodigital syndromes;Orofaciodigital syndrome	
TMEM126A	Optic atrophy 7;OPTIC ATROPHY 7 WITH OR WITHOUT AUDITORY NEUROPATHY	
TMEM127	Hereditary cancer-predisposing syndrome;Neoplastic Syndromes, Hereditary	Autosomal dominant inheritance
TMEM138	Joubert syndrome 16;JOUBERT SYNDROME 16	Autosomal recessive inheritance
TMEM165	Congenital disorder of glycosylation type 2k;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIk	
TMEM173	Sting-associated vasculopathy, infantile-onset;STING-ASSOCIATED VASCULOPATHY, INFANTILE-ONSET	
TMEM199	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIp;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIp	
TMEM216	Joubert syndrome 2	Autosomal recessive inheritance
TMEM231	Joubert syndrome 20;JOUBERT SYNDROME 20	
TMEM237	Familial aplasia of the vermis;JOUBERT SYNDROME 14;Joubert Syndrome and Related Disorders;Joubert syndrome 14	Autosomal recessive inheritance
TMEM240	Spinocerebellar ataxia 21;SPINOCEREBELLAR ATAXIA 21	
TMEM43	Arrhythmogenic right ventricular cardiomyopathy, type 5;ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 5;not provided;Not Provided;Arrhythmogenic right ventricular cardiomyopathy;Not provided	Autosomal dominant inheritance
TMEM5	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 10;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 10	
TMEM67	COACH syndrome;COACH SYNDROME	Autosomal recessive inheritance
TMEM70	not provided;Not Provided	
TMEM98	Nanophthalmos 4;NANOPHTHALMOS 4	
TMIE	Deafness, autosomal recessive 6;DEAFNESS, AUTOSOMAL RECESSIVE 6	
TMPO	Dilated cardiomyopathy 1T;not specified;Cardiomyopathy, dilated;Loeys-Dietz syndrome 2;Not specified;Dilated cardiomyopathy;CARDIOMYOPATHY, DILATED, 1T (1 family)	Autosomal dominant inheritance
TMPRSS15	Enterokinase deficiency;Enterokinase deficiency	
TMPRSS3	Deafness, autosomal recessive 8;DEAFNESS, AUTOSOMAL RECESSIVE 8	Autosomal recessive inheritance
TMPRSS6	Microcytic anemia;IRON-REFRACTORY IRON DEFICIENCY ANEMIA	Autosomal recessive inheritance
TNC	Deafness, autosomal dominant 56;DEAFNESS, AUTOSOMAL DOMINANT 56	
TNF	TNF receptor binding, altered;TNF RECEPTOR BINDING, ALTERED	
TNFAIP3	Autoinflammatory syndrome, familial, Behcet-like;AUTOINFLAMMATORY SYNDROME, FAMILIAL, BEHCET-LIKE	
TNFRSF11A	Osteopetrosis autosomal recessive 7;OSTEOPETROSIS, AUTOSOMAL RECESSIVE 7	
TNFRSF11B	Hyperphosphatasemia with bone disease;PAGET DISEASE OF BONE 5, JUVENILE-ONSET	
TNFRSF13B	Common variable immunodeficiency 2;IMMUNODEFICIENCY, COMMON VARIABLE, 2	Autosomal dominant inheritance
TNFRSF1A	Not Provided;TNF receptor-associated periodic fever syndrome (TRAPS);not provided	Autosomal dominant inheritance
TNFRSF4	IMMUNODEFICIENCY 16 (1 patient);IMMUNODEFICIENCY 16 (1 patient)	
TNFSF11	Osteopetrosis autosomal recessive 2;OSTEOPETROSIS, AUTOSOMAL RECESSIVE 2	
TNNC1	Dilated cardiomyopathy 1Z;CARDIOMYOPATHY, DILATED, 1Z	
TNNI2	ARTHROGRYPOSIS, DISTAL, TYPE 2B;not provided;Arthrogryposis multiplex congenita, distal, type 2B;Distal arthrogryposis type 2B	Autosomal dominant inheritance
TNNI3	Cardiomyopathy, hypertrophic;Primary familial hypertrophic cardiomyopathy;not specified;Not Provided;not provided;CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 7;Not specified;Familial hypertrophic cardiomyopathy 7	Autosomal dominant inheritance
TNNT1	not provided;not provided	
TNNT2	Cardiomyopathy;Cardiomyopathy	
TNNT3	not specified;Arthyrgryposis, distal, type 2B;not provided	
